# wavelength (nm), H7260-20 QE (%)
617,15.32524872372307
618,15.29901762801369
619,15.27265497424919
620,15.24631666706697
621,15.22012922336931
622,15.1941863952183
623,15.16855103958679
624,15.14326132660804
625,15.11833872029938
626,15.09379506558719
627,15.06963730557483
628,15.04586975635128
629,15.02249468525754
630,14.99951209420971
631,14.97691940669608
632,14.95471144856877
633,14.93288080956929
634,14.91141844624557
635,14.89031429831
636,14.86955773269195
637,14.84913772226801
638,14.82904273431577
639,14.80926034403541
640,14.78977664716748
641,14.77057563680251
642,14.75163877271366
643,14.73294492633615
644,14.7144707264054
645,14.69619115639265
646,14.67808017780701
647,14.6601111934601
648,14.64225723444873
649,14.62449074553135
650,14.60678273793725
651,14.58910100571876
652,14.57140727573497
653,14.55365367634882
654,14.53577952850732
655,14.51770968470313
656,14.49935513687816
657,14.48061562629188
658,14.46138319633841
659,14.44154555380924
660,14.42098868481165
661,14.39959891558298
662,14.37726502818377
663,14.35388092087932
664,14.32934873071454
665,14.30358166551791
666,14.2765055105027
667,14.2480581666543
668,14.21818742810645
669,14.18684792224135
670,14.15399827541811
671,14.11959921903042
672,14.08361300020688
673,14.04600450613359
674,14.00674486518164
675,13.96581834961558
676,13.92323248865268
677,13.87902941387859
678,13.83329475230489
679,13.78616045928838
680,13.73780033658769
681,13.68842019464692
682,13.63824648750748
683,13.58751672930698
684,13.53647286280064
685,13.48535646119083
686,13.43440311310612
687,13.38383291069507
688,13.3338350774248
689,13.28454777992155
690,13.23603810619068
691,13.18828942764709
692,13.14120150840828
693,13.09460331329884
694,13.04827308957894
695,13.001958526644
696,12.95539213552358
697,12.90830108549699
698,12.86041403250168
699,12.81146896006637
700,12.76122570752783
701,12.70948457824823
702,12.6561084190551
703,12.6010416251677
704,12.54431863877209
705,12.48605821371769
706,12.42644595405055
707,12.36571210014277
708,12.30411152496328
709,12.241909448328
710,12.17937266534162
711,12.11676438794378
712,12.05434112565386
713,11.99235104517168
714,11.93103376631836
715,11.87062123152998
716,11.81133837644756
717,11.75340118236688
718,11.69700875049437
719,11.64232626525894
720,11.58945841366425
721,11.53841808103483
722,11.48910023179274
723,11.44127145931634
724,11.39457985242998
725,11.34858092818035
726,11.30276969938987
727,11.25661026540815
728,11.20956111384936
729,11.16110165483114
730,11.11076841478631
731,11.05820501418122
732,11.00321963536138
733,10.94583323993847
734,10.88629973121201
735,10.82508923834585
736,10.76284176169051
737,10.70030907751807
738,10.6383008790858
739,10.57763909315918
740,10.51911099862685
741,10.46340615090535
742,10.41102924351354
743,10.36219920542333
744,10.31676366256333
745,10.27416293613014
746,10.23346285155782
747,10.19345118151056
748,10.15277685418555
749,10.11011137359165
750,10.06431730901456
751,10.01460496869652
752,9.96064728007681
753,9.90262166532022
754,9.841167763515587
755,9.777280638001292
756,9.712176901601147
757,9.64716314739141
758,9.583512676159021
759,9.522340836470642
760,9.464475703554971
761,9.41034264344397
762,9.359896811847911
763,9.312629468188675
764,9.267645837085597
765,9.223786506502019
766,9.179761408319138
767,9.134284615074684
768,9.086218635008439
769,9.034736503824259
770,8.979485331907306
771,8.920705568472631
772,8.859252526903122
773,8.796490616332498
774,8.734071800187303
775,8.673645304579733
776,8.616564150827546
777,8.56365570052944
778,8.515107293531054
779,8.470482939574346
780,8.428844135054909
781,8.388921562927393
782,8.349291417243185
783,8.308540971108716
784,8.265433866422264
785,8.219083362844852
786,8.169114002550856
787,8.115764638219495
788,8.059885133643256
789,8.002809442161402
790,7.946129253391292
791,7.891421805059323
792,7.839994766449289
793,7.792703942129727
794,7.749878393123105
795,7.711354199199158
796,7.676583535200215
797,7.644768260782813
798,7.614976026067528
799,7.586222730364682
800,7.557529485962557
801,7.527972280834955
802,7.496736977025639
803,7.463177824749593
804,7.426864449191546
805,7.387599467879825
806,7.345398949831816
807,7.300443442118943
808,7.253016405051863
809,7.203443646221778
810,7.152036680335649
811,7.099035612635991
812,7.044549927472818
813,6.988505640431173
814,6.930615069207352
815,6.870383721757086
816,6.807159811895341
817,6.7402248689274
818,6.668923245958224
819,6.592826494019138
820,6.511914433730935
821,6.426730351321528
822,6.338451901275376
823,6.248830030180083
824,6.159983789185988
825,6.074081249407675
826,5.992970737107431
827,5.917846710784674
828,5.849034008780168
829,5.785942713710272
830,5.727187978347833
831,5.67081435256271
832,5.614545333972146
833,5.556000488044958
834,5.492858711840779
835,5.422970967804654
836,5.344437380471223
837,5.255676624929478
838,5.155532656635605
839,5.043460707711829
840,4.919780606016803
841,4.785889483674452
842,4.64425944941634
843,4.498099212755401
844,4.350744366704857
845,4.205039810087377
846,4.063013313497816
847,3.925936866946718
848,3.794552110887267
849,3.669049259928596
850,3.548553838896487
851,3.430401776693741
852,3.31003876772831
853,3.182357375982985
854,3.044303375141782
855,2.897184734682201
856,2.746706773710878
857,2.600220901199633
858,2.462986277202871
859,2.336141951452694
860,2.217560263318311
861,2.104332529390637
862,1.99468758888764
863,1.888252978713946
864,1.785233135071068
865,1.685661150839788
866,1.589226873683959
867,1.495343845042163
868,1.4030140049689
869,1.310624834925865
870,1.216259401111407
871,1.118777393219635
872,1.019081618433728
873,0.9205202375895885
874,0.8278722148011715
875,0.7454337280571749
876,0.6754003567020137
877,0.6174491021825532
878,0.5694939121987681
879,0.5288591171508373
880,0.4931233953343294
881,0.4604290481610715
882,0.4295057503133255
883,0.3996638505194339
884,0.3707590776121185
885,0.3430109713404097
886,0.3166886828882791
887,0.2918465705232533
888,0.2682775257475118
889,0.2456759349698878
890,0.2238548150503636
891,0.2028661298410041
892,0.1829798711609457
893,0.1645666400372255
894,0.1479519927942347
895,0.1333013356609077
896,0.1205794885834839
897,0.1095973041133317
898,0.1001061461645513
899,0.09186980398853399
900,0.0846721716711915
901,0.07828652441976035
902,0.07246884824192734
903,0.06700413889998443
904,0.06176982112171467
905,0.05675667026578941
906,0.05202763023875129
907,0.04765147625736499
908,0.04366303043414696
909,0.04006717339684449
910,0.03686199632260069
911,0.03404730006472967
912,0.03160885868000713
913,0.02949649685456088
914,0.02761996563570513
915,0.02587108490042111
916,0.02416069860699779
917,0.02244941214206035
918,0.02075546096359798
919,0.01913644785526667
920,0.01765568433341657
921,0.016350810556457
922,0.01521918901104683
923,0.01422441294006789
924,0.01331777859637149
925,0.0124631894986796
926,0.01165502927887915
927,0.01092345552108986
928,0.0103265167796639
929,0.009931834426669263
930,0.00979340432671061
