# wavelength (nm), H7260-20 QE (%)
300,3.545178270553099
301,3.551946906968794
302,3.571852893492235
303,3.603953033814081
304,3.647275015106159
305,3.701101566401392
306,3.764803829239669
307,3.837426948650152
308,3.917381981942205
309,4.002429618295746
310,4.089910733745822
311,4.177085556092312
312,4.261473293479229
313,4.341132607372318
314,4.414841369671122
315,4.482144721661645
316,4.543271962253024
317,4.598965210970767
318,4.65028374587969
319,4.698432468521164
320,4.744628218195828
321,4.78999293837026
322,4.835462463746452
323,4.881715288351558
324,4.92913734977123
325,4.977833973563902
326,5.02768256629785
327,5.078404242034638
328,5.129630717627009
329,5.180953543543115
330,5.23195636454809
331,5.282238725212899
332,5.331439529902261
333,5.379262310802419
334,5.425497670992555
335,5.470035187135762
336,5.512859806651848
337,5.554034372195957
338,5.593675510973782
339,5.631931082808046
340,5.668964063503033
341,5.704943359854543
342,5.740039290249145
343,5.774420674127886
344,5.808250594745843
345,5.841678287724421
346,5.87482574246633
347,5.907770157851386
348,5.940526712449715
349,5.973037930312914
350,6.005174243895682
351,6.036745839142739
352,6.067521901048224
353,6.097253141815202
354,6.125696828416593
355,6.152646752028838
356,6.177969602066407
357,6.201643429424326
358,6.223787603028524
359,6.24467294387266
360,6.264707669888114
361,6.28440478604179
362,6.304342064823864
363,6.325123274905922
364,6.347342351225454
365,6.37154766437766
366,6.398205465206489
367,6.427667789604871
368,6.460154300253217
369,6.495754889162829
370,6.534451487585873
371,6.576149483818678
372,6.620706785921065
373,6.667952184378462
374,6.71769064697187
375,6.769698143254804
376,6.823711480927249
377,6.879419486189008
378,6.9364605484144
379,6.994428486350429
380,7.052885904005236
381,7.111384360667519
382,7.169494324340532
383,7.226851524708901
384,7.283224039750773
385,7.338593123964985
386,7.393225102902692
387,7.447702561247914
388,7.502888713358039
389,7.559817200200333
390,7.619521560235686
391,7.682837378056497
392,7.750222690455521
393,7.82164383830906
394,7.896558682717927
395,7.974000828595661
396,8.052744380525453
397,8.13152312318643
398,8.209284077386716
399,8.285451810091519
400,8.360159013478096
401,8.43438120126315
402,8.509925534108827
403,8.589263978601089
404,8.675237028761675
405,8.770661713257654
406,8.877872158511586
407,8.99823921881198
408,9.131763596282468
409,9.276870916490759
410,9.430508559000163
411,9.588554788329503
412,9.74645230229889
413,9.899917748553202
414,10.04556550860591
415,10.18131005178715
416,10.30647536155354
417,10.42163329498539
418,10.52827629038886
419,10.62845603989857
420,10.72447889949448
421,10.81868052917399
422,10.9132576929875
423,11.01013441863676
424,11.11086439298133
425,11.21658897833747
426,11.32806269031274
427,11.44573312869685
428,11.56984162343523
429,11.70050781057045
430,11.83777156257361
431,11.98157654578002
432,12.13168738490589
433,12.28754672633916
434,12.44810913187503
435,12.61172733900026
436,12.77618440182823
437,12.93893415217102
438,13.09753128145327
439,13.25013779649893
440,13.39594090507219
441,13.53534662388537
442,13.66991078545441
443,13.80207273626111
444,13.93479983314644
445,14.07121435631833
446,14.21420395394405
447,14.36598351161726
448,14.52761831628122
449,14.69860643114319
450,14.8766775588909
451,15.05793976422938
452,15.23740435606928
453,15.40980187716386
454,15.57051666787298
455,15.71642682837388
456,15.84644722109187
457,15.96165066606272
458,16.06497373649611
459,16.16063226962369
460,16.25340859683342
461,16.34793038590211
462,16.44801167143721
463,16.55612493224879
464,16.67309458093042
465,16.79808178491716
466,16.92884967614193
467,17.06221161689359
468,17.19453804793755
469,17.32223287382976
470,17.4421357052088
471,17.55181993674903
472,17.64975070292024
